time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.765694413239465e-08,2.4978795725608517e-08,10.001304679574904,3.3723341783975513e-05,6.2828887832921545,0.0,1.379523311333173e-05,2.433130456756532e-06,0.043488203484600856,0.0016632074943833076,-0.01732910120127428,0.0,419.13797459497823,417.6295610538663,418.7167208792962,418.86134923697944
0.12000000000000001,1.2392735481516648e-05,1.55473385404965e-06,10.013306640191372,0.00010371765206240724,6.2827564373740366,0.0,0.00046158679442446105,5.992096091055579e-05,0.3565320196208283,0.0001542347619703121,0.017773493701989634,0.0,499.0931038342808,501.64813469178483,499.60812702747614,499.4980888337592
0.18,4.528027610725644e-05,7.462687264775192e-06,10.039854492970937,6.283027969611418,0.00020434878746833363,0.0,0.0005313718031321306,0.00012508624864404356,0.528332164201664,-0.015370127640516576,-0.0105909351735119,0.0,459.9883184103734,457.7369167465138,460.30184687147306,459.0719272603947
0.23999999999999996,7.543889895340978e-05,9.761312065029129e-06,10.069570628175827,6.281950134696718,6.283167824207501,0.0,0.0005050075130431429,-0.00012543835916799728,0.46223551466776625,-0.023734004071660472,0.0073949906592270746,0.0,380.23885679752823,381.95781169696045,381.0283410698432,380.22801859243333
0.3,0.0001045791596312364,-2.63164952120768e-05,10.098793146418979,6.280692082411791,0.00015750077981824262,0.0,0.0004352164329997806,-0.0012034322558361855,0.511826921860735,-0.01594118999981469,-0.008022162920374526,0.0,421.1811870404078,419.84585811301656,420.82446624232017,421.4983433504884
0.36000000000000004,0.00012922683662493234,-0.00015668578450587437,10.133631066640389,6.279342269646683,6.282829358392966,0.0,0.0004398560129244014,-0.003260558075719933,0.6493681347985981,-0.04072478491478795,-0.009650259551206113,0.0,448.5246599953677,448.39255535660686,450.4416626994363,448.43314563536177
0.4200000000000001,0.00016504469551243244,-0.00044589554300166254,10.176899567572178,6.277469122632375,6.28280654929317,0.0,0.0007817667373107917,-0.006608316782087462,0.792825185965625,-0.0169294316480006,0.013640462620582407,0.0,450.27766759418245,452.15767852234114,449.68896357806716,451.6116619759005
0.48000000000000015,0.00021764964890008288,-0.0009875643024872967,10.231535675362307,6.276994774292152,0.00033027929150275526,0.0,0.0008781437474483939,-0.011531910590364049,1.028196025718302,0.005826419878795445,0.00789596692658575,0.0,479.20341892584264,478.7664780295236,477.33675179041865,479.07001713489836
0.5400000000000001,0.0002599638848412316,-0.001833271928540355,10.300656423254157,6.27711783444799,0.0005893656784072832,0.0,0.0004855935289638505,-0.016625947364274616,1.2755863052072,-0.006836787050551354,-0.00402170504911075,0.0,481.8928198490319,480.9911508643461,483.97383413322245,483.01987313190057
0.6000000000000002,0.00027952319760181685,-0.0029386253037473995,10.377066849319725,6.276511496213555,0.00038589128058408306,0.0,0.0001856122065995828,-0.020262376811922334,1.2714322634167763,-0.0176105786709538,-0.0021591492285192855,0.0,404.4844127445862,404.65216374534265,404.27559379930466,403.30386151117887
0.6600000000000003,0.00028337753884973336,-0.00429202816237581,10.455854375363868,6.276102264201274,0.00023738321026378628,0.0,-4.327018145952729e-05,-0.024917535408739276,1.3547228296397316,0.008902094660741258,-0.003114758730226018,0.0,433.4501844337473,433.369927402678,431.86227976974897,434.0926492393043
0.7200000000000003,0.00027484567212221093,-0.005960907201016701,10.544369434191145,6.276658598305453,0.0006284295427887443,0.0,-0.0002595111241732045,-0.03064269662273626,1.595475307083605,0.010002437553307087,0.020954768338228777,0.0,480.80266225825267,482.62254530806734,480.78167526302934,480.86489854239977
0.7800000000000004,0.00024263232745771538,-0.00792388371576657,10.64182433684598,6.276906240150041,0.0018008112734824167,0.0,-0.0009306163237128033,-0.03474512558464836,1.6529400756669013,-0.011463386869402025,0.016547964586896877,0.0,425.19944418288264,424.82175709209105,427.37828405876706,425.54486286096267
0.8400000000000004,0.00014151848451461269,-0.010154574585433816,10.746194911143283,6.276575884587423,0.0026803120004768033,0.0,-0.0025452452872133944,-0.039664675325777006,1.8258185291098539,0.004330652211223259,0.010582709936608644,0.0,461.97989004335284,461.5092184276903,461.7823887326871,463.0265784333355
0.9000000000000005,-7.202924180109291e-05,-0.012676406141810074,10.859718571184994,6.2768621636109625,0.003593344453864944,0.0,-0.004656443181312798,-0.04436583351694698,1.9580862036172555,0.005638438618673494,0.023166320687567344,0.0,449.74906640355164,450.7669410557602,450.18259165651165,450.2883057471427
0.9600000000000005,-0.0004294912257219529,-0.015465460955737732,10.979827473607136,6.276941859778745,0.004620942137155026,0.0,-0.007383516249392082,-0.048579019308564286,2.045391235880406,-0.009103879458740322,0.0009260583085252024,0.0,437.85065688378666,435.9965156017764,436.90796642323465,435.6771631422235
1.0200000000000005,-0.0009757641606557177,-0.01852140943782542,11.107210206046776,6.276758397442386,0.004435021650035509,0.0,-0.010818789073607539,-0.05332200270109917,2.2004142330434577,0.0069007126816803405,-0.01269475539152521,0.0,458.82614757233114,457.74361307108586,457.0937654758799,458.36741589834287
1.0800000000000005,-0.0017261097688681642,-0.02187047334962688,11.245139346729156,6.277109252131185,0.0037127911981915673,0.0,-0.01410484589254736,-0.058266497981327076,2.396833877462557,0.003653333326780364,-0.010753431910682688,0.0,471.13855380336753,471.28875017036006,470.93677581393837,470.6854371532971
